trial,epsilon_m,eps_total_idx,eps_total,T,hv_NSGAII,hv_MOMA,hv_AMOMA,f1_min,f1_max,f2_min,f2_max,f3_min,f3_max
19,0.4793452844894778,6,2.88,6,0.6893449649624496,0.7024384729983217,0.8400675319835202,0.3517312571381747,0.3589621393733124,0.0035377290325406,0.043673447487862,2.8760717069368664,2.8800000000000003
19,0.4793452844894778,7,3.36,7,0.6688346250490234,0.7814282261063823,0.8955911746819439,0.3512491972535594,0.3585194701687392,0.0046179506090207,0.1008492421491568,3.355416991426344,3.3600000000000003
19,0.4793452844894778,8,3.84,7,0.28927066364260295,0.8523781599737488,0.8976363047908741,0.3507979236216384,0.3663534253535387,0.001365778118992,0.6618207775768171,3.355416991426344,3.84
19,0.4793452844894778,9,4.32,7,0.17655235239334818,0.6501384011649862,0.8190655875318721,0.350552449518332,0.3572291301648427,0.0009913228223385,0.6762084837878877,3.360847598367485,4.320000000000001
19,0.4793452844894778,10,4.8,7,0.15856142955081995,0.539330567881435,0.9882747671156835,0.3506074391846502,1.2930379906162548,0.0006974909438071,0.6672289053079727,3.3714125617144024,4.8
2,0.4793452844894778,3,1.44,3,0.3884204811671839,0.450024197019853,0.657708713539164,0.3513941498207427,0.3580058685032278,0.0030637499229643,0.0197837306272326,1.4380358534684334,1.44
2,0.4793452844894778,4,1.92,4,0.8180480340216411,0.826003532341169,0.8089939159888216,0.3513372169329888,0.3627366280092786,0.0022648510409108,0.0639461096423162,1.917381137957911,1.9200000000000004
2,0.4793452844894778,5,2.4,5,0.8492180527215182,0.891972384919792,0.9367362263496368,0.3514396892027538,0.3597542878109307,0.0043531552497797,0.1178623217978907,2.3967264224473888,2.4
2,0.4793452844894778,6,2.88,6,0.8016025722797099,0.9454291543617807,0.9518090085612082,0.3513624373534741,0.3631193951733441,0.0045165584951847,0.6515212800288304,2.8760717069368664,2.880000000000001
2,0.4793452844894778,7,3.36,7,0.7441906744042257,0.7970355580977849,0.8124163490056382,0.351247493703907,0.3576583690358613,0.00454555978162,0.1008492421491568,3.355416991426344,3.3600000000000008
2,0.4793452844894778,8,3.84,7,0.26757604476399394,0.7758096264763422,0.8809253041516188,0.3507979242769226,0.3589541847213257,0.0013255059818923,0.6723133167933689,3.355416991426344,3.84
2,0.4793452844894778,9,4.32,7,0.19161223688698384,0.7092445069925382,0.8606393225603725,0.3506494320806112,0.3648414796093127,0.0009743394934523,0.6804906008649956,3.355416991426344,4.320000000000001
2,0.4793452844894778,10,4.8,7,0.1731129373328104,0.5879334842853788,0.9196631917336052,0.3505800962727446,0.3647082743822145,0.0006725705354373,0.6869846547190548,3.361201694901576,4.8
20,0.4793452844894778,3,1.44,3,0.44324064709379263,0.5179129567008052,0.8623083969250218,0.3515407784127453,0.3554886391642375,0.004547630951078,0.5534772719434387,1.4380358534684334,1.44
20,0.4793452844894778,4,1.92,4,0.8642472672157212,0.9326136161133569,0.9433277072559768,0.3513979617601086,0.3611731100530657,0.0048296301744959,0.1326934192080492,1.917381137957911,1.92
20,0.4793452844894778,5,2.4,5,0.8726133758899591,0.9543969926561449,0.9625372812191637,0.3512394727714673,0.3680873044487631,0.004651855127924,0.3166563967983342,2.3967264224473888,2.4000000000000004
20,0.4793452844894778,6,2.88,6,0.7212621933091777,0.734069687701423,0.7969200311963713,0.3517314213013912,0.3620076906031573,0.0035381711497103,0.043673447487862,2.8760717069368664,2.880000000000001
20,0.4793452844894778,7,3.36,7,0.6475053514765167,0.8421732974091973,0.9193897986329416,0.3512494571722929,0.3648599730976772,0.0042527969563021,0.1008492421491568,3.355416991426344,3.3600000000000003
20,0.4793452844894778,8,3.84,7,0.27798616950992455,0.6884443070721682,0.8163631882650546,0.3507979238778581,0.357199904519726,0.0020849542522988,0.0829756709574529,3.355416991426344,3.8400000000000007
20,0.4793452844894778,9,4.32,7,0.14072234947579074,0.6225726224694306,0.8351331593637548,0.3506573446092796,0.357199904519726,0.0010178270172893,0.6788128806409244,3.355416991426344,4.32
20,0.4793452844894778,10,4.8,7,0.15589843328199351,0.5836981890374338,0.9364422352486792,0.3505927553317815,1.2948921622085328,0.0005053423680084,0.6711925685592407,3.355416991426344,4.8
3,0.4793452844894778,3,1.44,3,0.6744657702791874,0.6775251773274952,0.9698213884404129,0.3514019614277739,0.3580058681669236,0.0030637497989269,0.2483273655571181,1.4380358534684334,1.44
3,0.4793452844894778,4,1.92,4,0.7605300325473575,0.976216603094643,0.9212109993153429,0.3513276503400967,0.3627366280092786,0.002240574203092,0.614332860524213,1.917381137957911,1.9200000000000004
3,0.4793452844894778,5,2.4,5,0.8066658261038226,0.892851688527921,0.9274691690330044,0.3514396582559534,0.3597542878109307,0.0044090594741255,0.1178623217978907,2.3967264224473888,2.4000000000000004
3,0.4793452844894778,6,2.88,6,0.7477023108042514,0.9923914920560558,0.996012783779716,0.3513625516885506,0.7256488912883798,0.0045752601521748,0.6515164094649188,2.8760717069368664,2.8800000000000003
3,0.4793452844894778,7,3.36,7,0.6563870767653858,0.831668045372902,0.9435097858956403,0.3512472329148461,0.3599283048590018,0.004545543921161,0.1008492421491568,3.355416991426344,3.3600000000000008
3,0.4793452844894778,8,3.84,7,0.25281972859538454,0.8868333464735519,0.9122537283051891,0.3506981032868336,0.3678076699737403,0.0013255039062687,0.6587073639982285,3.3661674457703525,3.84
3,0.4793452844894778,9,4.32,7,0.1392008704232698,0.6220997060402482,0.9751751938070388,0.3506226181294892,0.3789019411116304,0.00086877408653,0.6824347344248937,3.355416991426344,4.32
3,0.4793452844894778,10,4.8,7,0.11814583127488133,0.48711291992433575,0.9083917964098389,0.3505894378763518,0.3649127406540602,0.0004519626611558,0.6866277502402358,3.355416991426344,4.800000000000001
4,0.4793452844894778,3,1.44,3,0.9559005925563622,0.9906867607621863,0.9919803045042073,0.3513941498207427,1.146352045004303,0.0030637499232202,0.5534772719434387,1.4380358534684334,1.44
4,0.4793452844894778,4,1.92,4,0.8141999186183712,0.8262781563765255,0.8903391669273748,0.3513372169329877,0.3627366280092786,0.0022648510409059,0.063946109642244,1.917381137957911,1.92
4,0.4793452844894778,5,2.4,5,0.7012207924171096,0.8081613813731853,0.9077890620457134,0.3514396892027538,0.3597542878109307,0.0044089132190117,0.0642955814361957,2.3967264224473888,2.4
4,0.4793452844894778,6,2.88,6,0.6440124051339428,0.7755974658940582,0.8441938768946436,0.3513624373690777,0.3631193951733441,0.0045165585014896,0.0436072388527566,2.8760717069368664,2.880000000000001
4,0.4793452844894778,7,3.36,7,0.44597433229215183,0.7985109247706849,0.8449706487572494,0.3512328969627384,0.3584405320978227,0.0045455736280911,0.1008492421491568,3.355416991426344,3.3600000000000003
4,0.4793452844894778,8,3.84,7,0.26950198539728676,0.8048542271454756,0.8153580647796819,0.3506686354902553,0.36171316358896,0.0013255034553161,0.6668356256627157,3.366079707523125,3.84
4,0.4793452844894778,9,4.32,7,0.21981179725323888,0.6822138945296303,0.9105677450315538,0.3506135458620474,0.3670924614532882,0.0008721684519507,0.6883064970225242,3.355416991426344,4.320000000000001
4,0.4793452844894778,10,4.8,7,0.1356519081514336,0.5134749577416241,0.8660692204575207,0.3505662792751658,0.3610480433037019,0.0007181315755722,0.6560747261764504,3.355416991426344,4.800000000000001
5,0.4793452844894778,3,1.44,3,0.6809477798961426,0.6873371404028935,0.9874022003569403,0.3514019614277739,0.3580058681669236,0.0030637497989269,0.5534772719434387,1.4380358534684334,1.4400000000000002
5,0.4793452844894778,4,1.92,4,0.9133580166840264,0.9754342997535692,0.9103312730632865,0.3513372197291342,0.3611731100530657,0.0022648581464106,0.614332860524213,1.917381137957911,1.92
5,0.4793452844894778,5,2.4,5,0.7125250515519066,0.777262929726147,0.8408910442081855,0.3514396582559534,0.3599019056252139,0.0044090594742885,0.0551556452247447,2.3967264224473888,2.4000000000000004
5,0.4793452844894778,6,2.88,6,0.5760174853895123,0.709990940665281,0.7778384055643258,0.3513625516885486,0.3589621393733124,0.0045929395928999,0.0435682713025254,2.8760717069368664,2.8800000000000003
5,0.4793452844894778,7,3.36,7,0.761189977361346,0.8483702416312596,0.9419413084627433,0.3512472328174799,0.3599283048590018,0.0045455719792673,0.1008492421491568,3.355416991426344,3.3600000000000008
5,0.4793452844894778,8,3.84,7,0.2822161572656527,0.8785090330714358,0.9527555409788809,0.3507092289958076,0.3653685460738599,0.0013255064242514,0.6751484480569268,3.355416991426344,3.8400000000000007
5,0.4793452844894778,9,4.32,7,0.15710157400797475,0.6301741606685861,0.9367651311670262,0.3505777331062189,0.3679650982330262,0.000958018464087,0.665208014345229,3.355416991426344,4.320000000000001
5,0.4793452844894778,10,4.8,7,0.2262273791968943,0.5216660225478458,0.9458943896632656,0.3505289242282406,0.3764831585587,0.0006624356704596,0.6865640549354494,3.355416991426344,4.8
6,0.4793452844894778,3,1.44,3,0.5939096204909188,0.6899668239689661,0.6736193260435384,0.3513941498207427,1.0241188324269712,0.0030637499229643,0.0151790454982795,1.4380358534684334,1.44
6,0.4793452844894778,4,1.92,4,0.8024755642005906,0.8181550002488052,0.8727814348068758,0.3513372169329893,0.3611731100530657,0.0022648510409059,0.0639461096423816,1.917381137957911,1.92
6,0.4793452844894778,5,2.4,5,0.6298667157410456,0.7733204281207439,0.8964985937241478,0.3514396892027538,0.3572343410202377,0.0044089132249296,0.0642955814361957,2.3967264224473888,2.4
6,0.4793452844894778,6,2.88,6,0.5752129830511071,0.6760908989405386,0.7182573476441075,0.3513624373690777,0.3589621393733124,0.0045165585074887,0.043673447487862,2.8760717069368664,2.880000000000001
6,0.4793452844894778,7,3.36,7,0.746852546809085,0.8910638027402902,0.9229468796597636,0.3512474932670665,0.3648599730976772,0.0045456026763898,0.1008492421491568,3.355416991426344,3.3600000000000003
6,0.4793452844894778,8,3.84,7,0.28648081386969987,0.847123649367321,0.9101961282606752,0.3506560958423709,0.3723916742777665,0.0013356772259086,0.6846509150513279,3.355416991426344,3.84
6,0.4793452844894778,9,4.32,7,0.2701962981624311,0.5760248338384047,0.7170024782992551,0.3505472804364545,0.3615095892382526,0.0009264437888176,0.0327526534156406,3.355416991426344,4.320000000000001
6,0.4793452844894778,10,4.8,7,0.207090761416188,0.5676846464539436,0.9306121909857268,0.3505795010808635,0.367368225281789,0.0007171611177983,0.6877556337777901,3.4066923594407768,4.8
7,0.4793452844894778,3,1.44,3,0.43899849666819435,0.47099416403331823,0.607720712731592,0.3514019614277739,0.3580058681669236,0.0030637497989269,0.0213170062180909,1.4380358534684334,1.44
7,0.4793452844894778,4,1.92,4,0.9742237532309839,0.9769151564995807,0.9112450751949748,0.3513372197291342,0.3611731100530657,0.0022648581464118,0.6691977191098183,1.917381137957911,1.92
7,0.4793452844894778,5,2.4,5,0.7617404248779841,0.7759338956836712,0.871799159064191,0.3514329810076593,0.3599019056252139,0.0044090594741255,0.0551556452247447,2.3967264224473888,2.4000000000000004
7,0.4793452844894778,6,2.88,6,0.8905527372824377,0.9285970551782274,0.9271306385316447,0.3513625516885518,0.3619747328140338,0.004584060903766,0.6515164094648825,2.8760717069368664,2.8800000000000003
7,0.4793452844894778,7,3.36,7,0.5200248950826788,0.9343165372599311,0.9717376548113592,0.3512491972535594,0.3825733855792138,0.0045456087171679,0.1008492421491568,3.355416991426344,3.3600000000000008
7,0.4793452844894778,8,3.84,7,0.306521909497375,0.7649627843361837,0.8897606808069705,0.3507979247581969,0.3577940709285941,0.0013255071998257,0.6815319058763553,3.355416991426344,3.8400000000000007
7,0.4793452844894778,9,4.32,7,0.27282008349275194,0.5879080703553056,0.9392563428086067,0.3506573655778133,0.3764831585587,0.0010147167557058,0.6802665744617534,3.366075644419882,4.32
7,0.4793452844894778,10,4.8,7,0.14700159484861763,0.5364019282249155,0.9007354206934555,0.350515752384632,0.3609801206695369,0.0005595651118173,0.6896849430502576,3.355416991426344,4.8
8,0.4793452844894778,3,1.44,3,0.9897887103081482,0.9916582336587838,0.9922725951534028,0.3513941498207427,1.1393646950508498,0.0030401528054098,0.6520792417762014,1.4380358534684334,1.44
8,0.4793452844894778,4,1.92,4,0.9081530817157839,0.9227814230846403,0.9191176060371072,0.3513372169329877,0.3611731100530657,0.0039698305863447,0.1326934192080492,1.917381137957911,1.9200000000000004
8,0.4793452844894778,5,2.4,5,0.6404080133326094,0.72215551206179,0.9451610701810661,0.3514396892027538,0.3583525051929642,0.0044089132190117,0.0485175870290153,2.3967264224473888,2.4000000000000004
8,0.4793452844894778,6,2.88,6,0.8902069722402639,0.9331576127077407,0.909722732951867,0.3513480578415008,0.3630127011571866,0.0045165584876104,0.6521342285701373,2.8760717069368664,2.8800000000000003
8,0.4793452844894778,7,3.36,7,0.4945981091879365,0.7945379464743888,0.8594007860169796,0.351232895227436,0.3576604025467739,0.0045456087171697,0.1008492421491568,3.355416991426344,3.3600000000000008
8,0.4793452844894778,8,3.84,7,0.24957556963357233,0.7041104678921961,0.8104466523490005,0.3507979238478508,0.3610480433037019,0.0014931698130848,0.0512339700468101,3.355416991426344,3.8400000000000007
8,0.4793452844894778,9,4.32,7,0.17613197676188963,0.6402932371350124,0.8431811513988738,0.3506302938111683,0.361053447003294,0.0011583366020311,0.6860893975653964,3.355416991426344,4.32
8,0.4793452844894778,10,4.8,7,0.20114593603634612,0.523248272706208,0.7987638782423423,0.3505240813419732,0.3570575901774357,0.0006145332752336,0.6850281096402718,3.355416991426344,4.8
9,0.4793452844894778,3,1.44,3,0.6605198987149721,0.6872760002977771,0.9875211143750465,0.3514019614277739,0.3580058681669236,0.0030637497989269,0.5534772719434387,1.4380358534684334,1.4400000000000002
9,0.4793452844894778,4,1.92,4,0.9340637947456588,0.9777065153178142,0.9088907122462861,0.3513372197291359,0.3611731100530657,0.003969845051028,0.614332860524213,1.917381137957911,1.92
9,0.4793452844894778,5,2.4,5,0.6193919258031877,0.7459356603152982,0.8922237734645514,0.3514396582559534,0.3599019056252139,0.0044090594741364,0.0485175870290153,2.3967264224473888,2.4
9,0.4793452844894778,6,2.88,6,0.8561419643743471,0.9674307905535501,0.9787712383767265,0.3513625516865838,0.3792595347492149,0.0035377290325406,0.6515164095486988,2.8760717069368664,2.8800000000000003
9,0.4793452844894778,7,3.36,7,0.40335340677589865,0.7582833998208433,0.8485586959469655,0.3512491972535594,0.3575649769173339,0.0047060119122276,0.1008492421491568,3.355416991426344,3.3600000000000003
9,0.4793452844894778,8,3.84,7,0.32378261889185783,0.7082183636445316,0.8941162564201787,0.3507153346848796,0.3673734014453538,0.001850457439956,0.0843837436961409,3.355416991426344,3.8400000000000007
9,0.4793452844894778,9,4.32,7,0.23267504527027608,0.6659708862745688,0.8575054363402571,0.3506118478762035,0.3657022449160939,0.0010160611130445,0.6671948973991542,3.355416991426344,4.320000000000001
9,0.4793452844894778,10,4.8,7,0.18293300877267588,0.49555199962115337,0.9135140167905551,0.3505270993647149,0.3678166561118,0.0006896926971992,0.6555590793869329,3.3647168767515896,4.8
average,0.4793452844894778,3,1.44,3,0.6629829677111416,0.6939871951448692,0.8929983720603267,0.3514250383069772,0.470445672655439,0.0032062387011743748,0.43305773172572337,1.4380358534684334,1.44
average,0.4793452844894778,4,1.92,4,0.8484196335192096,0.8884506682076913,0.9135270657947243,0.3513514473199276,0.39240799548308564,0.0035817517550408504,0.22465030793428312,1.917381137957911,1.92
average,0.4793452844894778,5,2.4,5,0.7013105220163014,0.8023213596937202,0.8941498408977843,0.351428119532391,0.36165360551827036,0.004446283809950755,0.08117750195089785,2.3967264224473888,2.4
average,0.4793452844894778,6,2.88,6,0.7363280738874398,0.8132828477653812,0.8833375776421581,0.35156830815579465,0.4008410041975482,0.00394289781869691,0.22604890132857255,2.8760717069368664,2.8800000000000003
average,0.4793452844894778,7,3.3600000000000003,7,0.5957151774501941,0.7948384505289934,0.8872242717328067,0.3512463520762827,0.3609255684104673,0.004615342421865015,0.1008492421491574,3.355416991426344,3.3600000000000008
average,0.4793452844894778,8,3.84,7,0.28572626389331035,0.7853870273148962,0.8738050732617598,0.3507665438883484,0.3638453304758153,0.00173750714776243,0.49121896588421005,3.3564876499483836,3.8400000000000007
average,0.4793452844894778,9,4.32,7,0.2040327782530491,0.6354183853872182,0.855080928467326,0.3505980907791668,0.3627296867272844,0.0008969030831563399,0.5708844121279407,3.360562523107549,4.320000000000001
average,0.4793452844894778,10,4.8,7,0.17881795371883016,0.5396040160314935,0.8914883862067589,0.3505620357309709,0.5031852728139803,0.00057624428185224,0.5842963059976995,3.362213217310054,4.8
